,Всего преступлений,Мошенничества,Мошенничество в сфере компьютерной информации,Публичные призывы (терроризм),Публичные призывы (экстремизм),Преступления в сфере компьютерной информации,Неправомерный доступ,Создание и распространение вредоносного ПО
2026-01-01,482885,239945,212,749,375,54878,54139,233
2026-02-01,487545,242410,212,761,378,55959,55208,236
2026-03-01,492205,244875,211,773,380,57039,56277,238
2026-04-01,496865,247340,211,785,383,58119,57346,241
2026-05-01,501525,249804,210,797,386,59199,58414,243
2026-06-01,506185,252269,210,809,389,60279,59483,246
2026-07-01,510845,254734,210,821,392,61360,60552,249
2026-08-01,515505,257199,209,833,395,62440,61621,251
2026-09-01,520165,259664,209,846,398,63520,62689,254
2026-10-01,524825,262128,208,858,401,64600,63758,257
2026-11-01,529485,264593,208,870,404,65680,64827,259
