,Всего преступлений,Мошенничества,Мошенничество в сфере компьютерной информации,Публичные призывы (терроризм),Публичные призывы (экстремизм),Преступления в сфере компьютерной информации,Неправомерный доступ,Создание и распространение вредоносного ПО
2026-01-01,-38488,355965,336,-2128,711,-14570,-2456985,535
2026-02-01,23543,-31460,-23,-14,319,-12155,-2433716,249
2026-03-01,91492,900,41,596,379,-9560,-2452299,266
2026-04-01,154094,36677,87,-1887,449,60854,-2448981,285
2026-05-01,214927,72085,117,3116,513,96410,-2445405,379
2026-06-01,278148,107828,167,126,567,37442,-2442579,440
2026-07-01,331131,141801,222,-3234,628,54341,-2438865,479
2026-08-01,379020,174728,232,2325,679,-10476,-2435739,531
2026-09-01,427080,203752,216,-1350,735,-90250,-2433321,574
2026-10-01,486235,230667,234,239,777,-68722,-2430567,616
2026-11-01,530815,262505,270,2284,821,-123178,-2425743,702
